District,Reg_Voters,AMURIAT_OBOI_PATRICK,KABULETA_KIIZA_JOSEPH,KALEMBE_NANCY_LINDA,KATUMBA_JOHN,KYAGULANYI_SSENTAMU_ROBERT,MAO_NORBERT,MAYAMBALA_WILLY,MUGISHA_MUNTU_GREGG,MWESIGYE_FRED,TUMUKUNDE_HENRY_KAKURUGU,YOWERI_MUSEVENI_TIBUHABURWA_KAGUTA,Valid_Votes,Invalid_Votes,Total_Votes,Received_Station
KIRUHURA,81891,78,1,16,31,616,7,1,155,8,36,75483,76432,311,76743,"189/
189"
KOBOKO,92845,545,322,247,149,10719,247,215,342,155,555,34410,47906,2933,50839,"190/
190"
MANAFWA,79924,1598,110,128,91,13740,104,32,66,132,128,32999,49128,1849,50977,"211/
211"
MITYANA,176029,307,85,90,256,72955,260,37,189,81,194,38163,112617,3516,116133,"337/
337"
NAKASEKE,107133,130,69,65,124,32063,204,32,97,64,172,38009,71029,2896,73925,"253/
253"
ABIM,36539,433,71,66,179,3956,395,35,63,41,95,18254,23588,875,24463,"105/
105"
AMURU,87122,3825,476,267,238,7466,2334,381,492,321,476,18742,35018,3103,38121,"170/
170"
BUDAKA,100900,825,307,357,181,27281,157,184,193,326,258,33261,63330,0,63330,"190/
190"
BULIISA,44869,355,194,86,50,6152,89,17,104,80,187,19316,26630,1696,28326,"96/
96"
DOKOLO,93712,2542,870,222,310,15364,420,163,492,264,771,36774,58192,2142,60334,"173/
173"
NAMUTUMBA,121149,537,219,595,157,27504,151,131,196,350,224,38427,68491,2936,71427,"243/
243"
OYAM,184088,1450,587,1762,545,27351,819,236,992,490,939,62292,97463,5411,102874,"334/
334"
MARACHA,101182,1100,364,840,282,10127,388,248,527,263,493,33674,48306,4764,53070,"202/
202"
BUDUDA,73039,421,83,85,62,14666,57,31,87,81,318,29224,45115,1432,46547,"208/
208"
BUKEDEA,99828,14331,389,64,126,4980,118,46,227,246,459,37590,58576,3148,61724,"180/
180"
LYANTONDE,51076,117,61,30,69,7726,25,24,137,57,58,23967,32271,798,33069,"111/
112"
AMUDAT,43647,47,4,6,6,625,7,4,10,20,27,30451,31207,246,31453,"120/
120"
BUIKWE,235640,1039,219,314,382,81852,388,68,259,152,206,40900,125779,5430,131209,"432/
432"
BUYENDE,138849,624,298,516,209,30252,130,64,266,163,393,47916,80831,4134,84965,"281/
281"
KYEGEGWA,138528,451,60,103,171,10656,74,25,422,100,338,69129,81529,3040,84569,"255/
255"
LAMWO,65223,1183,545,679,220,8621,1981,185,403,250,452,19322,33841,2837,36678,"169/
171"
OTUKE,48541,502,195,124,143,4949,175,63,165,73,225,25464,32078,1941,34019,"130/
130"
ZOMBO,123432,1260,421,434,310,9111,1176,207,498,305,606,45578,59906,4685,64591,"220/
220"
ALEBTONG,115804,1920,604,425,297,16794,446,419,634,389,860,42832,65620,3207,68827,"248/
248"
BULAMBULI,71664,700,65,132,43,10788,57,16,57,87,104,38972,51021,1539,52560,"245/
245"
BUVUMA,42415,208,25,106,68,13572,98,14,62,43,47,6814,21057,848,21905,"108/
108"
GOMBA,81314,71,33,43,71,29017,50,16,76,46,89,24568,54080,1564,55644,"207/
208"
KIRYANDONGO,125685,894,492,175,150,13893,527,67,258,204,288,38083,55031,4662,59693,"244/
244"
KYANKWANZI,108311,163,77,94,112,24529,74,21,134,138,155,39859,65356,2509,67865,"255/
255"
LUUKA,116094,361,73,487,107,31842,107,34,137,82,183,27520,60933,2450,63383,"227/
227"
NAMAYINGO,107234,1011,281,404,178,27651,129,165,227,253,242,27341,57882,3110,60992,"216/
216"
NTOROKO,38098,89,61,68,47,4212,28,11,187,50,103,19670,24526,756,25282,"85/
85"
SERERE,130290,26722,1200,414,232,6013,251,123,617,378,771,38555,75276,3876,79152,"240/
240"
BUKOMANSIMBI,76557,118,30,42,92,32155,106,18,52,34,88,13649,46384,1207,47591,"147/
151"
BUTAMBALA,55813,83,22,45,59,26806,47,16,49,38,43,9379,36587,1135,37722,"123/
123"
KALUNGU,88687,119,33,51,81,38352,120,25,97,41,94,16377,55390,1387,56777,"188/
188"
SHEEMA,129151,2409,343,334,866,8851,119,53,1646,138,349,65220,80328,2201,82529,"251/
251"
KIBUKU,91971,549,66,169,102,23624,79,45,188,131,215,34078,59246,1414,60660,"194/
194"
KOLE,119437,938,510,373,371,15937,468,141,447,274,619,46900,66978,3197,70175,"224/
225"
KWEEN,47080,662,46,112,47,4005,133,28,49,30,105,27467,32684,1038,33722,"152/
152"
LWENGO,139772,287,132,132,182,47742,121,32,155,64,160,36411,85418,2687,88105,"270/
270"
MITOOMA,111839,1827,129,220,466,6561,101,37,1356,67,388,54935,66087,1711,67798,"259/
259"
NAPAK,56678,354,23,26,22,912,43,110,66,34,463,32490,34543,2829,37372,"145/
145"
NGORA,72976,14618,320,392,105,2237,165,67,156,184,268,24662,43174,1769,44943,"121/
121"
BUHWEJU,66649,993,159,123,325,3602,83,34,490,94,293,41423,47619,1273,48892,"182/
182"
NWOYA,57186,809,327,396,192,5732,2570,126,361,450,267,13910,25140,1552,26692,"132/
132"
AGAGO,98354,1595,337,299,202,10559,1834,243,407,356,433,47696,63961,2572,66533,"211/
211"
RUBIRIZI,73848,490,178,78,224,6338,79,24,515,85,360,39686,48057,1306,49363,"136/
136"
KAGADI,175680,840,1129,181,265,15758,105,51,442,614,399,88830,108614,5037,113651,"404/
404"
KAKUMIRO,140691,305,690,89,166,10903,77,30,304,83,321,73132,86100,3347,89447,"317/
317"
OMORO,72216,1019,765,532,215,7169,2805,201,409,197,231,20902,34445,2557,37002,"158/
158"
RUBANDA,111615,1908,112,183,553,5735,104,35,635,122,517,67263,77167,1889,79056,"223/
223"
BUNYANGABU,92440,432,144,222,254,9816,56,33,553,108,204,44435,56257,1636,57893,"184/
184"
BUTEBO,51443,737,108,92,120,10890,52,12,75,91,114,23532,35823,912,36735,"119/
119"
KYOTERA,124872,183,46,124,131,49132,210,25,151,74,102,25598,75776,2279,78055,"219/
224"
NAMISINDWA,97191,791,91,122,81,12780,61,67,100,530,138,40563,55324,3351,58675,"254/
254"
PAKWACH,78801,1557,163,242,117,12576,261,220,205,162,312,32354,48169,0,48169,"142/
142"
RUKIGA,60965,1630,81,162,234,3959,34,30,390,113,328,31251,38212,1583,39795,"115/
115"
BUGWERI,84953,563,294,298,94,25939,79,29,153,47,122,17428,45046,2018,47064,"154/
154"
KAPELEBYONG,39629,6121,174,141,38,1387,68,37,77,85,119,17529,25776,1652,27428,"126/
126"
KASSANDA,134798,183,77,78,133,44990,142,23,178,112,193,37265,83374,3490,86864,"300/
300"
KIKUUBE,112825,360,2210,133,124,10771,72,22,271,115,272,49490,63840,3246,67086,"204/
204"
KWANIA,87587,992,393,319,238,13041,318,148,368,322,679,36364,53182,2820,56002,"160/
160"
NABILATUK,21367,15,3,3,3,272,7,6,2,8,38,16038,16395,536,16931,"58/
58"
KALAKI,53973,4794,195,193,81,3839,136,287,121,73,140,24556,34415,1563,35978,"103/
103"
KARENGA,18035,107,75,37,32,751,49,54,30,25,178,12819,14157,673,14830,"53/
53"
KAZO,92843,157,24,20,53,879,13,2,231,20,61,73043,74503,1078,75581,"206/
206"
KITAGWENDA,76037,459,67,178,113,4488,54,19,617,87,171,40417,46670,1191,47861,"168/
168"
MADI OKOLLO,63404,722,384,348,273,7611,241,116,534,178,898,25779,37084,2414,39498,"121/
121"
OBONGI,19321,1102,121,39,37,2769,56,7,53,53,86,7676,11999,884,12883,"44/
44"
RWAMPARA,70346,679,50,84,215,3710,37,17,539,39,102,35981,41453,747,42200,"157/
157"
ARUA CITY,170066,1107,705,522,348,28493,772,151,563,233,863,39566,73323,4645,77968,"289/
289"
GULU CITY,103401,2159,209,231,163,7290,7811,47,163,139,149,14603,32964,1952,34916,"188/
188"
JINJA CITY,154750,1512,133,694,221,43920,173,36,276,43,85,21202,68295,2750,71045,"256/
259"
FORT PORTAL CITY,65163,443,208,156,316,8440,45,15,828,52,96,25753,36352,1424,37776,"122/
122"
MBARARA CITY,114511,1428,116,114,513,12662,65,34,1581,53,386,36466,53418,1656,55074,"195/
195"
MASAKA CITY,122339,212,25,43,131,53444,204,10,105,36,46,14992,69248,1543,70791,"188/
188"
MBALE CITY,147774,2037,117,249,239,42267,173,48,147,193,182,29717,75369,3128,78497,"276/
276"
TEREGO,95118,1344,580,484,965,16720,705,243,1329,458,814,24718,48360,4497,52857,"170/
170"
LIRA CITY,111772,1523,453,496,326,17495,578,108,359,219,386,30271,52214,2140,54354,"183/
183"
HOIMA CITY,62018,292,2285,69,109,11662,51,14,261,32,83,19751,34609,1450,36059,"112/
112"
SOROTI CITY,56019,13200,158,123,79,3984,95,94,115,44,452,12031,30375,1252,31627,"99/
99"
